;wkr_nr2013;wkr_nr2017;wkr_name_2017;bula_2017;bula_name_2017;bula_abk_2017;change2017;new2017;ost_2017;wkr_nr2009;wkr_nr2005;wkr_nr2002;wkr_nr1998;change2013;new2013;change2009;new2009;change2005;new2005;change2002;new2002;jahr_2002;wkr_name_2002;bula_2002;ost_2002;wahlberechtigte_2002;waehler_2002;zweitstimmegueltig_2002;spd1_2002;spd2_2002;cdu1_2002;cdu2_2002;csu1_2002;csu2_2002;gru1_2002;gru2_2002;fdp1_2002;fdp2_2002;pds1_2002;pds2_2002;jahr_2005;wkr_name_2005;bula_2005;ost_2005;wahlberechtigte_2005;waehler_2005;zweitstimmegueltig_2005;spd1_2005;spd2_2005;cdu1_2005;cdu2_2005;csu1_2005;csu2_2005;gru1_2005;gru2_2005;fdp1_2005;fdp2_2005;pds1_2005;pds2_2005;jahr_2009;wkr_name_2009;bula_2009;ost_2009;wahlberechtigte_2009;waehler_2009;zweitstimmegueltig_2009;spd1_2009;spd2_2009;cdu1_2009;cdu2_2009;fdp1_2009;fdp2_2009;pds1_2009;pds2_2009;gru1_2009;gru2_2009;csu1_2009;csu2_2009;jahr_2013;wkr_name_2013;cdsu1share_2002;spd1share_2002;fdp1share_2002;gru1share_2002;lin1share_2002;cdsu2share_2002;spd2share_2002;fdp2share_2002;gru2share_2002;lin2share_2002;cdsu1share_2005;spd1share_2005;fdp1share_2005;gru1share_2005;lin1share_2005;cdsu2share_2005;spd2share_2005;fdp2share_2005;gru2share_2005;lin2share_2005;cdsu1share_2009;spd1share_2009;fdp1share_2009;gru1share_2009;lin1share_2009;cdsu2share_2009;spd2share_2009;fdp2share_2009;gru2share_2009;lin2share_2009
1;1;1;Flensburg  Schleswig;1;Schleswig-Holstein;SH;0;0;0;1;1;1;1;0;0;0;0;0;0;1;0;2002;Flensburg - Schleswig;1;0;217678;171856;170241;82845;74934;70366;62000;0;0;7440;15544;7052;12688;1930;2198;2005;Flensburg - Schleswig;1;0;220967;171827;169231;74802;66099;74480;61535;0;0;7068;13597;5347;16397;6150;8120;2009;Flensburg - Schleswig;1;0;225216;163329;159148;52139;41793;61793;51068;15292;24187;11918;13481;16399;21967;0;0;2013;Flensburg – Schleswig;0,413331688606152;0,482060562331254;0,041034354343171;0,0432920584675542;0,0112303323712876;0,36418959005175;0,436027837259101;0,0738292523973559;0,0904478167768364;0,0127897774881296;0,440108490761149;0,435333213057319;0,0311185087326206;0,0411343968060898;0,0357918138592887;0,363615413251709;0,384683431591077;0,0954273775367084;0,0791319175682518;0,0472568339085243;0,388273808027748;0,31922683663036;0,0936269737768553;0,100404704614612;0,0729692828585248;0,320883705733028;0,255882298918135;0,148087602324143;0,134495404980132;0,0825389245020786
2;2;2;Nordfriesland  Dithmarschen Nord;1;Schleswig-Holstein;SH;0;0;0;2;2;2;2;0;0;0;0;0;0;1;0;2002;Nordfriesland - Dithmarschen-Nord;1;0;181614;144507;142901;62899;60605;63230;57134;0;0;6331;9328;7602;11721;1592;1587;2005;Nordfriesland - Dithmarschen Nord;1;0;184580;143778;141720;56380;51307;67786;59034;0;0;5670;8854;5907;14270;4542;5475;2009;Nordfriesland - Dithmarschen Nord;1;0;187047;134671;131453;36642;32239;56751;47947;15184;22605;8208;8836;12840;14927;0;0;2013;Nordfriesland – Dithmarschen Nord;0,442474160432747;0,435266111676251;0,0526064481305404;0,0438110264554658;0,0110167673538306;0,399815256716188;0,419391448165141;0,0811102576345783;0,0645505062038517;0,01098216695385;0,478309342365227;0,392132315096885;0,0410841714309561;0,0394357968534825;0,0315903684847473;0,416553767993226;0,356848752938558;0,0992502329980943;0,0615810485609759;0,0380795392897383;0,431720843191103;0,272085304185756;0,112748847190561;0,0953434666706269;0,0609485338343073;0,364746335192046;0,239390811681802;0,167853509664293;0,110840492756421;0,0656117501169517
3;3;3;Steinburg  Dithmarschen Süd;1;Schleswig-Holstein;SH;0;0;0;3;3;3;3;0;0;0;0;0;0;1;0;2002;Steinburg - Dithmarschen-Süd;1;0;175990;140495;138782;63559;57200;59689;53495;0;0;5314;10664;8261;12250;1765;1770;2005;Steinburg - Dithmarschen Süd;1;0;177200;139014;136906;56428;49715;61471;53340;0;0;4480;8979;6024;14701;4899;6288;2009;Steinburg - Dithmarschen Süd;1;0;177604;128320;125290;37277;31282;49779;43480;16037;21970;8896;9808;10665;12899;0;0;2013;Steinburg – Dithmarschen Süd;0,43009179864824;0,452393323605822;0,0587992455247518;0,0378234100857682;0,0125627246521229;0,385460650516638;0,407131926403075;0,0871917150076515;0,0759030570482935;0,012598313107228;0,449001504682045;0,405915950911419;0,043333764944538;0,0322269699454731;0,0352410548577841;0,38961038961039;0,357625850633749;0,105751938653661;0,0645906167724114;0,0452328542448962;0,397310240242637;0,290500311720698;0,124976620947631;0,0831125311720698;0,0693266832917706;0,347034879080533;0,243781172069825;0,171212593516209;0,100522132169576;0,0764339152119701
4;4;4;Rendsburg-Eckernförde;1;Schleswig-Holstein;SH;0;0;0;4;4;4;4;0;0;0;0;0;0;1;0;2002;Rendsburg-Eckernförde;1;0;195179;159411;157713;75617;67218;63594;58861;0;0;6788;14189;8039;12665;1608;1839;2005;Rendsburg-Eckernförde;1;0;197355;158841;156779;68480;59001;69082;59743;0;0;6164;12613;5607;15507;5106;6522;2009;Rendsburg-Eckernförde;1;0;198910;150018;146992;47610;39253;58876;49789;14317;23442;8729;9821;14790;18751;0;0;2013;Rendsburg-Eckernförde;0,403226113256358;0,474352459993351;0,0504293932037312;0,0425817540822152;0,0100871332593108;0,373215904839804;0,421664753373356;0,0794487206027188;0,0890089140649014;0,0115362177014133;0,440632992939105;0,431122946846217;0,03529945039379;0,0388061016991835;0,0321453529000699;0,381065066112171;0,37144691861673;0,0976259278146071;0,0794064504756329;0,0410599278523807;0,400538804832916;0,317361916570012;0,0954352144409338;0,0985881694196696;0,0581863509712168;0,338719113965386;0,261655268034503;0,156261248650162;0,124991667666547;0,0654654774760362
5;5;5;Kiel;1;Schleswig-Holstein;SH;0;0;0;5;5;5;5;0;0;0;0;0;0;1;0;2002;Kiel;1;0;193933;152938;151281;81128;66983;46520;42270;0;0;10070;22767;9146;12530;3036;3255;2005;Kiel;1;0;194234;151040;148992;75473;61777;50437;42945;0;0;9196;18995;4509;13190;6103;8899;2009;Kiel;1;0;200347;145483;143220;54398;42369;42733;36397;12188;19156;11817;13430;18699;24659;0;0;2013;Kiel;0,307507221660354;0,530463325007519;0,0598020112725418;0,0658436752147929;0,0198511815245394;0,279413806095941;0,437974865631825;0,0819286246714355;0,148864245642025;0,0212831343420209;0,338521531357388;0,499688824152542;0,0298530190677966;0,0608845338983051;0,0404065148305085;0,288236952319588;0,409010858050847;0,0873278601694915;0,125761387711864;0,0589181673728814;0,2983731322441;0,373913103249177;0,0837761112982273;0,12853048122461;0,0812259851666518;0,254133500907694;0,291229903150196;0,131671741715527;0,169497467058007;0,0923131912319652
6;6;6;Plön  Neumünster;1;Schleswig-Holstein;SH;0;0;0;6;6;6;6;0;0;0;0;0;0;1;0;2002;Plön - Neumünster;1;0;172971;139038;137563;65669;61286;53165;49259;0;0;6931;11682;6240;10549;1409;1680;2005;Plön - Neumünster;1;0;174075;136982;134882;63207;53258;57110;48910;0;0;5166;10345;4798;12945;0;6009;2009;Plön - Neumünster;1;0;175132;127971;124940;41683;35557;48136;40110;12515;19772;7871;8936;12187;15701;0;0;2013;Plön – Neumünster;0,386477468505339;0,472309728275723;0,0448798170284383;0,0498496813820682;0,0101339202232483;0,35808320551311;0,440785972180267;0,0758713445245185;0,0840201959176628;0,0120830276615026;0,423407126228852;0,461425588763487;0,0350264998320947;0,0377129841877035;0;0,362613247134532;0,388795608182097;0,0945014673460747;0,0755208713553606;0,0438670774262312;0,385272931006883;0,325722233943628;0,0977955943143368;0,0952325136163662;0,0615061224808746;0,321034096366256;0,277852013346774;0,154503754756937;0,122691859874503;0,0698283204788585
7;7;7;Pinneberg;1;Schleswig-Holstein;SH;0;0;0;7;7;7;7;0;0;0;0;0;0;1;0;2002;Pinneberg;1;0;223977;187495;185700;85773;77166;75910;65925;0;0;10717;18998;9607;15419;1911;2204;2005;Pinneberg;1;0;227185;185609;183322;78236;68570;80935;67534;0;0;9118;16610;6743;18796;6142;8043;2009;Pinneberg;1;0;232899;176188;172995;54950;45540;70458;57203;17018;28640;11794;13412;16143;20978;0;0;2013;Pinneberg;0,40877759827679;0,457468199151977;0,0512386996986586;0,0571588575695352;0,0101922717939145;0,355008077544426;0,411562975012667;0,0822368596495907;0,101325368676498;0,0117549801328035;0,441490928530127;0,421509732825456;0,0363290573194188;0,0491247730444106;0,0330910677822735;0,368390045930112;0,369432516742184;0,10126664116503;0,0894891950282583;0,0433330280320459;0,407283447498483;0,311882761595568;0,0965900061298159;0,0916237201171476;0,0669398596953255;0,330662735917223;0,258473902876473;0,162553635888937;0,119065997684292;0,0761232320021795
8;8;8;Segeberg  Stormarn-Mitte;1;Schleswig-Holstein;SH;0;0;0;8;8;8;8;0;0;0;0;0;0;1;0;2002;Segeberg - Stormarn-Nord;1;0;228709;187998;186335;86883;76736;75283;68320;0;0;9310;17402;11057;16193;1972;2363;2005;Segeberg - Stormarn-Nord;1;0;233522;188632;186525;79520;68214;81812;68553;0;0;7522;16110;7530;21167;5971;8166;2009;Segeberg - Stormarn-Nord;1;0;240010;180295;176992;54065;44445;70290;58225;20084;31407;12527;14280;16633;21245;0;0;2013;Segeberg – Stormarn-Mitte;0,404019642042558;0,462148533495037;0,0588144554729306;0,0495218034234407;0,0104894732922691;0,366651461078166;0,408174555048458;0,0861338950414366;0,0925648145193034;0,0125692826519431;0,438611446186838;0,421561559014377;0,0399189957165274;0,0398765850969083;0,031654226218245;0,367527141133896;0,36162475083761;0,112213198184825;0,0854043852580686;0,0432906399762501;0,39713659374435;0,299869658060401;0,111395213400261;0,0922543609085111;0,0694805735045342;0,328969670945579;0,246512659807538;0,174197842424915;0,117834659863002;0,0792035275520674
9;9;9;Ostholstein  Stormarn-Nord;1;Schleswig-Holstein;SH;0;0;0;9;9;9;9;0;0;0;0;0;0;1;0;2002;Ostholstein;1;0;175045;141399;140005;67701;61583;57186;53548;0;0;5466;9978;7289;10963;1285;1336;2005;Ostholstein;1;0;177834;140965;139123;61947;53947;60608;52564;0;0;3798;9353;5402;14442;4363;5794;2009;Ostholstein;1;0;179987;131917;128823;43765;36329;49363;42193;14397;22701;8235;9342;10411;13651;0;0;2013;Ostholstein – Stormarn-Nord;0,408456840827113;0,478794050877305;0,0515491622995919;0,0386565675853436;0,00908775875359798;0,38247205456948;0,435526418150058;0,0775323729305016;0,0705662699170433;0,00944844022942171;0,435643279687758;0,439449508743305;0,03832156918384;0,0269428581562799;0,0309509452701025;0,377823939966792;0,382697832795375;0,102450963005001;0,0663498031426241;0,0411024013052885;0,383184679754392;0,331761637999651;0,109136805718747;0,0789208365866416;0,0624256161070976;0,327526916777284;0,275392860662386;0,172085477989948;0,103481734727139;0,0708172563051009
10;10;10;Herzogtum Lauenburg  Stormarn-Süd;1;Schleswig-Holstein;SH;0;0;0;10;10;10;10;0;0;0;0;0;0;1;0;2002;Herzogtum Lauenburg - Stormarn-Süd;1;0;228765;190571;188741;86859;75472;79704;71192;0;0;8726;18449;10032;15412;1922;2169;2005;Herzogtum Lauenburg - Stormarn-Süd;1;0;232711;190357;187899;82387;67206;83029;69894;0;0;9499;17328;8955;21046;0;8203;2009;Herzogtum Lauenburg - Stormarn-Süd;1;0;237144;181568;178309;53073;45354;70874;59075;19742;30714;12351;13855;18761;22240;0;0;2013;Herzogtum Lauenburg – Stormarn-Süd;0,422292983506498;0,455782884069454;0,0526417975452718;0,0457887086702594;0,0100854799523537;0,377194144356552;0,396030875631654;0,0808727455908821;0,096809063288748;0,0113815848161578;0,441881010542898;0,432802576212065;0,047043187274437;0,0499009755354413;0;0,371976434148133;0,353052422553413;0,110560683347605;0,0910289613725789;0,0430927152665781;0,397478534454234;0,292303709904829;0,108730613323934;0,103327678886147;0,0680241011632006;0,331306888603492;0,249790712019739;0,169159763835037;0,12248854423687;0,0763074991187875
